axis,20x10 Open field Inline Profile depth 5,axis,20x10 Open field Crossline Profile depth 5,axis,10x10 Open field Inline Profile depth 5,axis,10x10 Open field Crossline Profile depth 5,axis,20x10 Wedge field Inline Profile depth 5,axis,20x10 Wedge field CR Profile depth 5,axis,10x10 Open field PDD 
-64.6,101.7,-12.1,99.9,-13.3,100.1,-13.0,100.5,-65.2,84.4,-12.3,100.3,59.7,81.9
-63.4,101.9,-10.9,100.3,-12.1,100.4,-11.8,100.2,-64.0,84.6,-11.1,100.3,60.9,81.4
-62.2,101.8,-9.7,100.2,-10.9,100.2,-10.5,100.1,-62.8,85.1,-9.8,100.2,62.2,81.0
-60.9,101.7,-8.5,99.9,-9.6,99.9,-9.3,100.3,-61.6,85.6,-8.6,100.2,63.4,80.3
-59.7,102.0,-7.2,99.9,-8.4,100.0,-8.1,100.3,-60.3,85.6,-7.4,100.2,64.6,79.9
-58.5,102.0,-6.0,100.0,-7.2,99.9,-6.9,100.3,-59.1,85.9,-6.2,100.4,65.8,79.4
-57.4,101.8,-4.8,99.7,-6.0,99.8,-5.7,100.3,-57.9,86.2,-5.0,100.2,67.0,78.9
-56.2,101.7,-3.6,99.8,-4.8,100.2,-4.5,100.2,-56.7,86.9,-3.8,100.2,68.2,78.4
-55.0,102.1,-2.4,100.2,-3.6,100.1,-3.3,100.3,-55.5,86.9,-2.6,100.0,69.4,77.9
-53.8,102.0,-1.2,99.9,-2.4,99.7,-2.1,100.1,-54.3,87.4,-1.4,100.1,70.6,77.6
-52.5,101.9,0.1,100.0,-1.1,99.8,-0.9,100.0,-53.0,87.4,-0.2,100.0,71.9,77.0
-51.3,101.9,1.2,100.2,0.1,100.0,0.0,100.0,-51.8,88.0,0.0,100.0,73.1,76.6
-50.1,101.9,2.5,100.0,1.3,99.8,0.3,100.0,-50.7,88.2,1.0,100.1,74.3,76.0
-48.9,101.8,3.7,100.1,2.5,100.1,1.5,100.1,-49.4,88.4,2.2,100.2,75.5,75.6
-47.7,101.8,4.9,100.1,3.7,99.8,2.7,100.2,-48.2,88.8,3.4,100.2,76.8,75.1
-46.5,101.6,6.1,100.1,4.9,99.9,3.9,100.3,-47.0,89.0,4.6,100.2,78.0,74.5
-45.3,101.5,7.3,100.2,6.1,100.0,5.2,100.4,-45.8,89.4,5.9,100.0,79.2,74.1
-44.1,101.6,8.5,100.3,7.3,100.1,6.4,100.4,-44.6,89.6,7.1,100.1,80.5,73.6
-42.9,101.7,9.8,100.2,8.6,100.1,7.6,100.4,-43.3,89.9,8.3,100.2,81.7,73.2
-41.7,101.3,11.0,100.3,9.8,100.1,8.8,100.3,-42.1,90.1,9.6,100.5,82.9,72.7
-40.4,101.2,12.2,100.2,11.0,100.1,10.0,100.4,-41.0,90.4,10.8,100.4,84.1,72.4
-39.2,101.3,13.4,100.4,12.2,100.3,11.2,100.3,-39.7,90.5,12.0,100.4,85.4,71.9
-38.0,101.1,14.6,100.5,13.5,100.4,12.4,100.7,-38.4,90.8,13.2,100.3,86.6,71.4
-36.8,101.2,15.8,100.5,14.7,100.2,13.6,100.7,-37.2,91.2,14.4,100.6,87.8,70.9
-35.5,101.1,17.0,100.6,15.9,100.2,14.8,100.8,-36.1,91.4,15.6,100.6,89.0,70.5
-34.3,101.1,18.2,100.6,17.1,100.2,16.0,100.8,-34.8,91.7,16.9,100.3,90.2,70.0
-33.1,101.1,19.4,100.6,18.3,100.1,17.2,100.8,-33.6,91.9,18.0,100.7,91.4,69.6
-31.9,101.0,20.6,100.4,19.4,100.3,18.4,100.7,-32.4,92.1,19.3,100.4,92.6,69.1
-30.7,101.2,21.8,100.7,20.7,100.1,19.7,100.7,-31.2,92.6,20.4,100.3,93.9,68.5
-29.5,101.2,23.0,100.3,21.9,100.1,20.9,100.7,-30.0,92.8,21.7,100.3,95.0,68.3
-28.3,101.2,24.2,100.2,23.1,99.9,22.1,100.6,-28.7,93.3,22.9,100.6,96.3,67.8
-27.1,101.3,25.4,100.0,24.4,99.9,23.3,100.8,-27.5,93.8,24.1,100.1,97.5,67.3
-25.9,101.1,26.7,99.9,25.5,100.0,24.5,100.5,-26.4,93.8,25.3,100.1,98.7,66.9
-24.7,101.1,27.9,100.1,26.8,99.9,25.7,100.6,-25.1,94.2,26.5,99.8,99.9,66.4
-23.4,101.2,29.0,99.8,28.0,99.7,26.9,100.4,-23.9,94.5,27.7,99.9,101.2,66.0
-22.2,101.2,30.3,99.6,29.2,99.6,28.1,100.6,-22.7,94.8,28.9,99.8,102.3,65.6
-21.0,100.9,31.5,99.5,30.4,99.3,29.4,100.3,-21.5,94.9,30.1,99.6,103.5,65.1
-19.9,100.8,32.7,99.3,31.6,99.1,30.6,100.2,-20.3,95.4,31.3,99.5,104.7,64.7
-18.7,100.7,33.9,99.1,32.9,98.9,31.7,100.1,-19.0,95.8,32.6,99.3,105.9,64.2
-17.5,100.8,35.1,98.9,34.1,98.6,33.0,99.9,-17.8,95.7,33.8,99.3,107.2,63.7
-16.2,100.7,36.3,98.8,35.3,98.5,34.2,99.6,-16.7,96.1,35.0,99.0,108.4,63.3
-15.0,100.8,37.5,98.4,36.5,98.3,35.4,99.5,-15.4,96.4,36.2,98.6,109.6,63.0
-13.8,100.7,38.8,98.1,37.7,98.2,36.6,99.0,-14.1,96.8,37.4,98.5,110.8,62.5
-12.6,100.7,40.0,98.0,38.9,97.9,37.9,98.9,-13.0,96.9,38.6,98.3,112.0,62.2
-11.4,100.3,41.2,97.8,40.1,97.6,39.1,98.7,-11.7,97.1,39.8,97.8,113.2,61.9
-10.1,100.6,42.4,97.2,41.3,97.3,40.3,98.3,-10.5,97.3,41.0,97.6,114.4,61.4
-9.0,100.4,43.6,96.7,42.5,96.6,41.5,98.1,-9.2,97.6,42.3,97.4,115.7,60.9
-7.8,100.3,44.8,95.9,43.8,95.7,42.7,97.6,-8.1,97.9,43.5,96.8,116.9,60.4
-6.6,100.2,46.0,94.8,45.0,94.4,43.9,97.1,-6.9,98.1,44.7,95.9,118.1,60.1
-5.4,100.3,47.2,93.1,46.2,91.9,45.1,96.1,-5.7,98.4,45.9,94.6,119.3,59.7
-4.1,100.4,48.4,89.6,47.5,87.3,46.3,95.0,-4.4,98.8,47.1,93.3,120.5,59.3
-2.9,100.1,49.7,82.5,48.6,80.3,47.5,92.7,-3.2,99.1,48.3,89.8,121.7,58.9
-1.7,100.1,50.9,71.1,49.8,70.6,48.7,88.3,-2.0,99.6,49.5,83.5,122.9,58.6
-0.5,100.0,52.1,58.1,51.1,58.7,49.9,79.8,-0.8,99.6,50.7,73.3,124.2,58.2
0.0,100.0,53.3,44.9,52.2,46.1,51.1,67.7,0.0,100.0,52.0,60.6,125.4,57.8
0.7,100.0,54.5,32.1,53.4,33.8,52.3,53.8,0.5,100.2,53.2,47.5,126.6,57.4
1.9,100.2,55.8,22.0,54.7,23.4,53.5,40.2,1.6,100.2,54.4,35.0,127.8,57.0
3.1,100.4,57.0,16.2,55.9,16.8,54.8,27.8,2.9,100.8,55.6,24.9,129.1,56.6
4.4,100.4,58.2,13.4,57.1,13.1,56.0,18.4,4.1,101.1,56.8,18.7,130.2,56.2
5.6,100.3,59.4,11.7,58.3,11.0,57.2,13.5,5.3,101.2,58.1,15.4,131.5,55.9
6.8,100.1,60.6,10.4,59.6,9.7,58.4,11.1,6.5,101.8,59.3,13.5,132.7,55.5
8.0,100.4,61.8,9.7,60.8,8.9,59.6,9.6,7.7,102.1,60.5,12.3,133.9,55.0
9.2,100.6,63.0,9.0,62.0,8.4,60.8,8.5,9.0,102.5,61.7,11.5,135.1,54.7
10.5,100.5,64.2,8.5,63.2,7.8,62.0,7.9,10.2,102.9,62.9,10.6,136.3,54.3
11.7,100.6,65.4,8.0,64.4,7.4,63.1,7.3,11.4,103.2,64.1,10.2,137.5,54.0
12.9,100.7,66.7,7.6,65.6,7.0,64.3,6.8,12.6,103.8,65.3,9.7,138.7,53.7
14.1,100.9,67.9,7.3,66.8,6.7,65.6,6.4,13.8,104.1,66.6,9.3,139.9,53.3
15.4,101.0,69.1,7.0,67.7,6.5,66.8,5.9,15.1,104.4,67.8,9.0,141.1,52.9
16.5,101.1,70.3,6.7,69.7,6.2,67.7,5.7,16.2,104.8,69.0,8.7,142.4,52.5
17.7,101.1,71.6,6.4,71.4,5.7,69.6,5.4,17.4,105.2,70.2,8.4,143.6,52.2
19.0,101.1,72.5,6.1,72.5,5.4,71.4,4.9,18.6,105.6,71.5,8.3,144.8,51.8
20.2,101.1,,,,,,,19.8,105.9,72.5,7.9,,
21.4,101.1,,,,,,,21.0,106.1,,,,
22.6,101.2,,,,,,,22.3,106.5,,,,
23.8,101.2,,,,,,,23.5,107.0,,,,
25.0,101.1,,,,,,,24.8,107.2,,,,
26.2,101.2,,,,,,,25.9,107.7,,,,
27.4,101.1,,,,,,,27.1,108.0,,,,
28.6,101.2,,,,,,,28.3,108.0,,,,
29.8,101.3,,,,,,,29.5,108.6,,,,
31.0,101.3,,,,,,,30.7,109.0,,,,
32.3,101.1,,,,,,,31.9,109.3,,,,
33.5,101.3,,,,,,,33.2,109.4,,,,
34.7,101.3,,,,,,,34.4,110.2,,,,
35.9,101.4,,,,,,,35.5,110.1,,,,
37.2,101.5,,,,,,,36.8,110.5,,,,
38.4,101.3,,,,,,,38.0,110.7,,,,
39.6,101.4,,,,,,,39.3,111.3,,,,
40.8,101.6,,,,,,,40.4,111.8,,,,
42.0,101.6,,,,,,,41.6,112.0,,,,
43.3,101.8,,,,,,,42.8,112.6,,,,
44.5,101.9,,,,,,,44.1,113.0,,,,
45.7,101.9,,,,,,,45.3,113.7,,,,
46.9,101.9,,,,,,,46.5,113.5,,,,
48.1,102.2,,,,,,,47.7,114.2,,,,
49.4,102.3,,,,,,,48.9,114.5,,,,
50.6,102,,,,,,,50.1,115.2,,,,
51.7,102.2,,,,,,,51.4,115.5,,,,
52.9,102.2,,,,,,,52.6,115.5,,,,
54.2,102,,,,,,,53.8,116.1,,,,
55.4,102.1,,,,,,,55.0,116.5,,,,
56.6,102.1,,,,,,,56.2,116.8,,,,
57.8,102.1,,,,,,,57.5,117.4,,,,
59.1,102.2,,,,,,,58.7,117.6,,,,
60.3,102,,,,,,,59.9,117.9,,,,
61.5,102.1,,,,,,,61.1,118.5,,,,
62.7,102,,,,,,,62.3,118.5,,,,
63.9,101.9,,,,,,,63.5,119.4,,,,
65.1,102,,,,,,,64.7,120.0,,,,
66.3,101.9,,,,,,,65.9,120.4,,,,
67.6,101.9,,,,,,,67.1,120.5,,,,
68.8,101.8,,,,,,,68.4,121.0,,,,
70.0,101.6,,,,,,,69.6,121.7,,,,
71.2,101.7,,,,,,,70.8,122.1,,,,
72.5,101.5,,,,,,,72.1,122.5,,,,
73.7,101.6,,,,,,,73.2,123.1,,,,
74.9,101.4,,,,,,,74.4,123.2,,,,
76.1,101.3,,,,,,,75.6,123.9,,,,
77.3,101.1,,,,,,,76.9,124.2,,,,
78.5,100.9,,,,,,,78.1,124.3,,,,
79.8,100.9,,,,,,,79.2,125.0,,,,
81.0,100.7,,,,,,,80.5,125.3,,,,
82.2,100.8,,,,,,,81.7,125.8,,,,
83.4,100.7,,,,,,,82.9,126.3,,,,
84.6,100.4,,,,,,,84.1,125.8,,,,
85.8,100,,,,,,,85.3,126.4,,,,
87.0,99.8,,,,,,,86.6,126.8,,,,
88.2,99.4,,,,,,,87.8,126.9,,,,
89.4,99.1,,,,,,,89.0,127.1,,,,
90.6,99,,,,,,,90.2,127.6,,,,
91.9,98.5,,,,,,,91.4,127.2,,,,
93.1,98.2,,,,,,,92.6,127.6,,,,
94.2,97.6,,,,,,,93.9,127.4,,,,
95.5,97,,,,,,,95.1,127.2,,,,
96.7,96,,,,,,,96.3,126.4,,,,
97.9,94.3,,,,,,,97.5,125.1,,,,
99.1,91.2,,,,,,,98.7,122.1,,,,
100.3,86.3,,,,,,,99.9,117.1,,,,
101.5,78.9,,,,,,,101.1,109.2,,,,
102.7,68.7,,,,,,,102.3,97.1,,,,
103.9,56.1,,,,,,,103.5,81.5,,,,
105.2,42.6,,,,,,,104.8,64.6,,,,
106.4,30.9,,,,,,,106.0,48.2,,,,
107.6,21.8,,,,,,,107.2,33.8,,,,
108.8,16,,,,,,,108.4,24.5,,,,
110.0,13.3,,,,,,,109.6,19.7,,,,
111.2,11.6,,,,,,,110.9,16.9,,,,
112.4,10.6,,,,,,,112.0,15.1,,,,
113.6,9.8,,,,,,,113.3,14.3,,,,
114.8,9.3,,,,,,,114.5,13.3,,,,
116.1,8.8,,,,,,,115.6,12.8,,,,
117.3,8.5,,,,,,,116.8,12.3,,,,
118.5,8.1,,,,,,,118.0,11.9,,,,
119.7,7.9,,,,,,,119.3,11.5,,,,
120.9,7.5,,,,,,,120.3,11.0,,,,
122.1,7.3,,,,,,,122.0,10.7,,,,
123.3,7.1,,,,,,,123.9,10.2,,,,
125.0,6.7,,,,,,,125.0,9.6,,,,
