0.0,48.3
1.2,58.6
2.4,68.6
3.6,78.7
4.9,86.0
6.1,90.8
7.3,94.4
8.5,96.9
9.7,98.2
11.0,99.1
12.2,99.7
13.4,99.9
14.6,100.0
15.8,99.9
17.1,99.5
18.3,99.2
19.5,98.7
20.7,98.2
21.9,97.7
23.2,97.2
24.3,96.7
25.6,96.1
26.8,95.7
28.0,95.1
29.2,94.7
30.5,94.3
31.7,93.7
32.9,93.2
34.1,92.6
35.3,92.1
36.5,91.8
37.7,91.3
39.0,90.6
40.2,90.1
41.4,89.5
42.6,89.1
43.8,88.5
45.0,88.0
46.2,87.5
47.5,87.3
48.7,86.5
50.0,86.0
51.2,85.5
52.4,84.9
53.6,84.5
54.8,84.0
56.1,83.4
57.2,82.9
58.5,82.5
59.7,81.9
60.9,81.4
62.2,81.0
63.4,80.3
64.6,79.9
65.8,79.4
67.0,78.9
68.2,78.4
69.4,77.9
70.6,77.6
71.9,77.0
73.1,76.6
74.3,76.0
75.5,75.6
76.8,75.1
78.0,74.5
79.2,74.1
80.5,73.6
81.7,73.2
82.9,72.7
84.1,72.4
85.4,71.9
86.6,71.4
87.8,70.9
89.0,70.5
90.2,70.0
91.4,69.6
92.6,69.1
93.9,68.5
95.0,68.3
96.3,67.8
97.5,67.3
98.7,66.9
99.9,66.4
101.2,66.0
102.3,65.6
103.5,65.1
104.7,64.7
105.9,64.2
107.2,63.7
108.4,63.3
109.6,63.0
110.8,62.5
112.0,62.2
113.2,61.9
114.4,61.4
115.7,60.9
116.9,60.4
118.1,60.1
119.3,59.7
120.5,59.3
121.7,58.9
122.9,58.6
124.2,58.2
125.4,57.8
126.6,57.4
127.8,57.0
129.1,56.6
130.2,56.2
131.5,55.9
132.7,55.5
133.9,55.0
135.1,54.7
136.3,54.3
137.5,54.0
138.7,53.7
139.9,53.3
141.1,52.9
142.4,52.5
143.6,52.2
144.8,51.8
